OrderID,OrderDate,ProductName,Category,SubCategory,Quantity,UnitPrice,TotalSales,CustomerName,Gender,Age,Region,SalesRep,Country,Currency,Branch,PaymentMode,Channel,TransactionStatus,FeedbackScore
RFIN-1022,2023-01-23,Insurance,Others,Others,2,8392,16784,Aditya,Female,26,Kolkata,Vikas,India,INR,Branch-2,Credit Card,Online,Failed,2
RFIN-1023,2023-01-24,Equity,Investment,Equity,4,2306,9224,Pooja,Female,35,Bangalore,Sneha,India,INR,Branch-4,Credit Card,Offline,Failed,4
RFIN-1024,2023-01-25,Insurance,Others,Others,4,7776,31104,Rahul,Male,57,Bangalore,Sneha,India,INR,Branch-5,Net Banking,Agent,Failed,2
RFIN-1025,2023-01-26,Pension Plan,Others,Others,2,6864,13728,Neha,Male,53,Kolkata,Amit,India,INR,Branch-3,Cheque,Offline,Failed,4
RFIN-1026,2023-01-27,Debt Fund,Investment,Debt Fund,2,8526,17052,Rahul,Female,28,Chennai,Sneha,India,INR,Branch-5,Cheque,Agent,Pending,4
RFIN-1027,2023-01-28,Mutual Fund,Investment,Mutual Fund,2,9901,19802,Aditya,Female,25,Delhi,Raj,India,INR,Branch-3,Net Banking,Online,Success,5
RFIN-1028,2023-01-29,Equity,Investment,Equity,4,6575,26300,Megha,Male,59,Kolkata,Sneha,India,INR,Branch-3,Cheque,Online,Pending,1
RFIN-1029,2023-01-30,Insurance,Others,Others,4,6530,26120,Neha,Female,24,Chennai,Raj,India,INR,Branch-1,UPI,Offline,Success,1
RFIN-1030,2023-01-31,Debt Fund,Investment,Debt Fund,1,5413,5413,Ishita,Female,26,Mumbai,Raj,India,INR,Branch-4,Cheque,Online,Pending,3
RFIN-1031,2023-02-01,Debt Fund,Investment,Debt Fund,1,4748,4748,Ishita,Male,52,Kolkata,Amit,India,INR,Branch-3,Cheque,Offline,Success,5
RFIN-1032,2023-02-02,Equity,Investment,Equity,4,1663,6652,Ishita,Female,50,Mumbai,Priya,India,INR,Branch-1,Cheque,Agent,Success,4
RFIN-1033,2023-02-03,Equity,Investment,Equity,2,2998,5996,Pooja,Female,55,Chennai,Raj,India,INR,Branch-5,Credit Card,Online,Success,1
RFIN-1034,2023-02-04,Debt Fund,Investment,Debt Fund,2,8994,17988,Aarav,Male,36,Chennai,Sneha,India,INR,Branch-1,UPI,Agent,Pending,4
RFIN-1035,2023-02-05,Mutual Fund,Investment,Mutual Fund,1,2495,2495,Aditya,Female,33,Chennai,Sneha,India,INR,Branch-5,Cheque,Agent,Failed,1
RFIN-1036,2023-02-06,Mutual Fund,Investment,Mutual Fund,4,4304,17216,Aarav,Female,50,Chennai,Raj,India,INR,Branch-4,UPI,Online,Failed,1
RFIN-1037,2023-02-07,Insurance,Others,Others,1,4763,4763,Karan,Female,39,Bangalore,Sneha,India,INR,Branch-3,UPI,Online,Pending,1
RFIN-1038,2023-02-08,Mutual Fund,Investment,Mutual Fund,1,6232,6232,Pooja,Female,37,Chennai,Vikas,India,INR,Branch-2,UPI,Online,Success,5
RFIN-1039,2023-02-09,Debt Fund,Investment,Debt Fund,3,2853,8559,Ishita,Female,39,Bangalore,Amit,India,INR,Branch-5,Net Banking,Agent,Success,2
RFIN-1040,2023-02-10,Debt Fund,Investment,Debt Fund,3,7585,22755,Neha,Male,48,Delhi,Sneha,India,INR,Branch-3,Cheque,Offline,Pending,4
RFIN-1041,2023-02-11,Pension Plan,Others,Others,3,2291,6873,Pooja,Female,46,Bangalore,Amit,India,INR,Branch-2,Credit Card,Offline,Failed,5
RFIN-1042,2023-02-12,Debt Fund,Investment,Debt Fund,2,4581,9162,Neha,Male,57,Mumbai,Raj,India,INR,Branch-2,Credit Card,Agent,Failed,5
RFIN-1043,2023-02-13,Mutual Fund,Investment,Mutual Fund,4,8554,34216,Rahul,Male,46,Delhi,Raj,India,INR,Branch-5,Credit Card,Agent,Success,5
RFIN-1044,2023-02-14,Insurance,Others,Others,4,8280,33120,Rahul,Female,43,Mumbai,Raj,India,INR,Branch-3,Credit Card,Agent,Failed,5
RFIN-1045,2023-02-15,Pension Plan,Others,Others,4,2636,10544,Neha,Female,29,Kolkata,Amit,India,INR,Branch-2,Cheque,Online,Failed,5
RFIN-1046,2023-02-16,Mutual Fund,Investment,Mutual Fund,4,4696,18784,Ishita,Male,32,Kolkata,Sneha,India,INR,Branch-1,Credit Card,Offline,Failed,3
RFIN-1047,2023-02-17,Insurance,Others,Others,3,1698,5094,Aarav,Male,21,Bangalore,Vikas,India,INR,Branch-1,UPI,Offline,Success,4
RFIN-1048,2023-02-18,Mutual Fund,Investment,Mutual Fund,2,5737,11474,Aditya,Female,21,Mumbai,Amit,India,INR,Branch-3,Net Banking,Offline,Failed,5
RFIN-1049,2023-02-19,Pension Plan,Others,Others,2,1854,3708,Pooja,Male,54,Kolkata,Vikas,India,INR,Branch-4,Credit Card,Offline,Success,4
RFIN-1050,2023-02-20,Debt Fund,Investment,Debt Fund,3,9164,27492,Pooja,Male,52,Kolkata,Sneha,India,INR,Branch-1,UPI,Offline,Pending,3
RFIN-1051,2023-02-21,Pension Plan,Others,Others,2,6855,13710,Ishita,Male,45,Kolkata,Sneha,India,INR,Branch-5,Credit Card,Offline,Pending,3
RFIN-1052,2023-02-22,Debt Fund,Investment,Debt Fund,3,8392,25176,Aditya,Male,21,Delhi,Amit,India,INR,Branch-3,Cheque,Agent,Success,4
RFIN-1053,2023-02-23,Pension Plan,Others,Others,4,7528,30112,Rahul,Male,36,Delhi,Priya,India,INR,Branch-2,UPI,Agent,Failed,1
RFIN-1054,2023-02-24,Equity,Investment,Equity,3,6249,18747,Aarav,Male,59,Chennai,Vikas,India,INR,Branch-1,Cheque,Online,Pending,2
RFIN-1055,2023-02-25,Mutual Fund,Investment,Mutual Fund,4,6172,24688,Aditya,Female,25,Mumbai,Raj,India,INR,Branch-3,Credit Card,Agent,Success,1
RFIN-1056,2023-02-26,Mutual Fund,Investment,Mutual Fund,4,2707,10828,Rahul,Male,42,Kolkata,Vikas,India,INR,Branch-3,UPI,Agent,Failed,1
RFIN-1057,2023-02-27,Equity,Investment,Equity,1,6791,6791,Aditya,Female,49,Mumbai,Sneha,India,INR,Branch-4,UPI,Offline,Pending,1
RFIN-1058,2023-02-28,Debt Fund,Investment,Debt Fund,3,6535,19605,Karan,Female,23,Chennai,Sneha,India,INR,Branch-2,UPI,Online,Success,5
RFIN-1059,2023-03-01,Mutual Fund,Investment,Mutual Fund,1,5931,5931,Pooja,Male,32,Bangalore,Amit,India,INR,Branch-2,Credit Card,Offline,Failed,3
RFIN-1060,2023-03-02,Equity,Investment,Equity,3,4510,13530,Karan,Female,46,Chennai,Priya,India,INR,Branch-2,Net Banking,Online,Failed,1
RFIN-1061,2023-03-03,Mutual Fund,Investment,Mutual Fund,3,1202,3606,Aditya,Female,36,Kolkata,Raj,India,INR,Branch-5,Net Banking,Agent,Success,3
RFIN-1062,2023-03-04,Insurance,Others,Others,1,5218,5218,Pooja,Female,57,Bangalore,Vikas,India,INR,Branch-3,Cheque,Agent,Failed,4
RFIN-1063,2023-03-05,Debt Fund,Investment,Debt Fund,1,9958,9958,Aarav,Male,42,Bangalore,Priya,India,INR,Branch-5,Net Banking,Offline,Pending,2
RFIN-1064,2023-03-06,Insurance,Others,Others,3,5389,16167,Ishita,Male,49,Chennai,Raj,India,INR,Branch-5,Credit Card,Offline,Success,4
RFIN-1065,2023-03-07,Debt Fund,Investment,Debt Fund,2,3327,6654,Karan,Male,34,Kolkata,Sneha,India,INR,Branch-3,UPI,Offline,Failed,4
RFIN-1066,2023-03-08,Equity,Investment,Equity,4,9004,36016,Ishita,Male,48,Bangalore,Sneha,India,INR,Branch-2,UPI,Agent,Failed,5
RFIN-1067,2023-03-09,Debt Fund,Investment,Debt Fund,1,3931,3931,Rahul,Female,25,Chennai,Amit,India,INR,Branch-3,Credit Card,Agent,Failed,2
RFIN-1068,2023-03-10,Debt Fund,Investment,Debt Fund,4,8777,35108,Rahul,Male,50,Chennai,Amit,India,INR,Branch-4,UPI,Agent,Failed,4
RFIN-1069,2023-03-11,Equity,Investment,Equity,2,1197,2394,Megha,Male,25,Kolkata,Vikas,India,INR,Branch-3,Net Banking,Online,Failed,4
RFIN-1070,2023-03-12,Debt Fund,Investment,Debt Fund,2,8125,16250,Rahul,Female,32,Chennai,Priya,India,INR,Branch-3,Cheque,Offline,Success,2
RFIN-1071,2023-03-13,Mutual Fund,Investment,Mutual Fund,2,2930,5860,Rahul,Male,36,Chennai,Priya,India,INR,Branch-1,Credit Card,Online,Pending,2
RFIN-1072,2023-03-14,Pension Plan,Others,Others,1,7287,7287,Pooja,Male,46,Chennai,Raj,India,INR,Branch-4,UPI,Agent,Pending,4
RFIN-1073,2023-03-15,Equity,Investment,Equity,2,9800,19600,Aarav,Male,46,Mumbai,Vikas,India,INR,Branch-1,Credit Card,Agent,Success,2
RFIN-1074,2023-03-16,Pension Plan,Others,Others,1,5282,5282,Rahul,Female,41,Delhi,Amit,India,INR,Branch-2,Net Banking,Online,Failed,4
RFIN-1075,2023-03-17,Equity,Investment,Equity,2,3511,7022,Neha,Male,59,Mumbai,Vikas,India,INR,Branch-2,UPI,Offline,Pending,4
RFIN-1076,2023-03-18,Equity,Investment,Equity,4,1659,6636,Aarav,Female,56,Chennai,Sneha,India,INR,Branch-4,UPI,Offline,Pending,5
RFIN-1077,2023-03-19,Insurance,Others,Others,4,3811,15244,Neha,Female,53,Delhi,Amit,India,INR,Branch-5,UPI,Agent,Pending,1
RFIN-1078,2023-03-20,Insurance,Others,Others,3,8098,24294,Neha,Female,50,Bangalore,Priya,India,INR,Branch-3,UPI,Agent,Failed,4
RFIN-1079,2023-03-21,Debt Fund,Investment,Debt Fund,4,7546,30184,Ishita,Female,57,Mumbai,Amit,India,INR,Branch-1,Credit Card,Agent,Success,3
RFIN-1080,2023-03-22,Pension Plan,Others,Others,3,2986,8958,Aditya,Female,43,Mumbai,Sneha,India,INR,Branch-4,Net Banking,Offline,Pending,1
RFIN-1081,2023-03-23,Equity,Investment,Equity,4,9338,37352,Neha,Male,30,Mumbai,Amit,India,INR,Branch-1,Net Banking,Online,Success,1
RFIN-1082,2023-03-24,Debt Fund,Investment,Debt Fund,1,3911,3911,Ishita,Female,25,Kolkata,Priya,India,INR,Branch-3,Cheque,Agent,Pending,1
RFIN-1083,2023-03-25,Mutual Fund,Investment,Mutual Fund,4,2734,10936,Rahul,Female,56,Chennai,Sneha,India,INR,Branch-5,Credit Card,Agent,Success,5
RFIN-1084,2023-03-26,Equity,Investment,Equity,3,2843,8529,Neha,Female,54,Bangalore,Raj,India,INR,Branch-1,Net Banking,Online,Failed,4
RFIN-1085,2023-03-27,Mutual Fund,Investment,Mutual Fund,3,9680,29040,Aditya,Male,51,Bangalore,Vikas,India,INR,Branch-4,Credit Card,Offline,Failed,5
RFIN-1086,2023-03-28,Debt Fund,Investment,Debt Fund,2,3976,7952,Megha,Female,30,Bangalore,Raj,India,INR,Branch-3,Credit Card,Agent,Failed,4
RFIN-1087,2023-03-29,Insurance,Others,Others,1,2959,2959,Karan,Female,39,Chennai,Sneha,India,INR,Branch-3,Net Banking,Offline,Success,5
RFIN-1088,2023-03-30,Debt Fund,Investment,Debt Fund,4,6759,27036,Ishita,Male,52,Delhi,Sneha,India,INR,Branch-5,Cheque,Agent,Failed,5
RFIN-1089,2023-03-31,Mutual Fund,Investment,Mutual Fund,2,7694,15388,Megha,Female,21,Mumbai,Sneha,India,INR,Branch-4,Cheque,Offline,Failed,3
RFIN-1090,2023-04-01,Equity,Investment,Equity,4,3385,13540,Ishita,Female,25,Chennai,Priya,India,INR,Branch-3,Cheque,Online,Pending,5
RFIN-1091,2023-04-02,Pension Plan,Others,Others,4,5736,22944,Karan,Male,24,Mumbai,Sneha,India,INR,Branch-1,UPI,Agent,Success,2
RFIN-1092,2023-04-03,Debt Fund,Investment,Debt Fund,2,2802,5604,Aditya,Female,36,Chennai,Vikas,India,INR,Branch-2,Net Banking,Agent,Success,3
RFIN-1093,2023-04-04,Equity,Investment,Equity,2,9155,18310,Aarav,Male,44,Mumbai,Priya,India,INR,Branch-4,UPI,Agent,Pending,5
RFIN-1094,2023-04-05,Insurance,Others,Others,2,9120,18240,Karan,Female,36,Chennai,Sneha,India,INR,Branch-1,UPI,Agent,Failed,1
RFIN-1095,2023-04-06,Insurance,Others,Others,2,7616,15232,Pooja,Female,22,Delhi,Priya,India,INR,Branch-5,UPI,Agent,Pending,2
RFIN-1096,2023-04-07,Insurance,Others,Others,2,6534,13068,Megha,Female,48,Bangalore,Vikas,India,INR,Branch-5,Credit Card,Online,Failed,2
RFIN-1097,2023-04-08,Equity,Investment,Equity,4,5061,20244,Neha,Male,52,Mumbai,Vikas,India,INR,Branch-3,Credit Card,Agent,Success,2
RFIN-1098,2023-04-09,Debt Fund,Investment,Debt Fund,2,1262,2524,Rahul,Male,47,Chennai,Priya,India,INR,Branch-5,Net Banking,Agent,Failed,3
RFIN-1099,2023-04-10,Equity,Investment,Equity,1,7287,7287,Pooja,Male,40,Delhi,Amit,India,INR,Branch-2,Net Banking,Offline,Pending,5
RFIN-1100,2023-04-11,Equity,Investment,Equity,3,9815,29445,Neha,Male,44,Delhi,Raj,India,INR,Branch-1,Credit Card,Agent,Failed,5
RFIN-1101,2023-04-12,Pension Plan,Others,Others,2,3049,6098,Neha,Female,32,Bangalore,Sneha,India,INR,Branch-4,Credit Card,Offline,Pending,1
RFIN-1102,2023-04-13,Pension Plan,Others,Others,2,6423,12846,Ishita,Male,55,Chennai,Raj,India,INR,Branch-3,UPI,Online,Failed,1
RFIN-1103,2023-04-14,Debt Fund,Investment,Debt Fund,4,5548,22192,Karan,Male,53,Mumbai,Vikas,India,INR,Branch-4,Cheque,Offline,Success,2
RFIN-1104,2023-04-15,Pension Plan,Others,Others,2,4108,8216,Aarav,Male,53,Kolkata,Raj,India,INR,Branch-1,Cheque,Offline,Success,1
RFIN-1105,2023-04-16,Insurance,Others,Others,2,8158,16316,Megha,Female,57,Delhi,Amit,India,INR,Branch-2,Cheque,Online,Success,3
RFIN-1106,2023-04-17,Pension Plan,Others,Others,2,8400,16800,Neha,Female,32,Delhi,Raj,India,INR,Branch-1,Cheque,Online,Failed,5
RFIN-1107,2023-04-18,Insurance,Others,Others,4,4170,16680,Ishita,Female,23,Bangalore,Raj,India,INR,Branch-1,Cheque,Offline,Pending,2
RFIN-1108,2023-04-19,Debt Fund,Investment,Debt Fund,2,3255,6510,Megha,Female,21,Chennai,Vikas,India,INR,Branch-3,UPI,Offline,Success,1
RFIN-1109,2023-04-20,Equity,Investment,Equity,3,2154,6462,Karan,Female,53,Kolkata,Vikas,India,INR,Branch-4,Net Banking,Online,Pending,3
RFIN-1110,2023-04-21,Equity,Investment,Equity,4,5499,21996,Aarav,Male,30,Kolkata,Sneha,India,INR,Branch-1,Credit Card,Online,Success,3
RFIN-1111,2023-04-22,Pension Plan,Others,Others,3,7295,21885,Pooja,Male,49,Kolkata,Priya,India,INR,Branch-1,UPI,Online,Success,1
RFIN-1112,2023-04-23,Insurance,Others,Others,4,7197,28788,Karan,Female,33,Chennai,Sneha,India,INR,Branch-2,Cheque,Online,Success,5
RFIN-1113,2023-04-24,Mutual Fund,Investment,Mutual Fund,2,2648,5296,Rahul,Female,32,Mumbai,Vikas,India,INR,Branch-5,Credit Card,Online,Success,1
RFIN-1114,2023-04-25,Mutual Fund,Investment,Mutual Fund,3,6539,19617,Karan,Male,51,Delhi,Sneha,India,INR,Branch-2,UPI,Offline,Pending,2
RFIN-1115,2023-04-26,Mutual Fund,Investment,Mutual Fund,4,5199,20796,Neha,Female,22,Chennai,Raj,India,INR,Branch-4,Cheque,Online,Pending,1
RFIN-1116,2023-04-27,Equity,Investment,Equity,1,9445,9445,Aarav,Female,55,Kolkata,Raj,India,INR,Branch-4,UPI,Agent,Failed,3
RFIN-1117,2023-04-28,Equity,Investment,Equity,2,3557,7114,Karan,Male,43,Delhi,Vikas,India,INR,Branch-3,Credit Card,Agent,Pending,1
RFIN-1118,2023-04-29,Insurance,Others,Others,4,6592,26368,Neha,Female,37,Delhi,Vikas,India,INR,Branch-5,Net Banking,Agent,Failed,5
RFIN-1119,2023-04-30,Pension Plan,Others,Others,1,1098,1098,Neha,Female,46,Kolkata,Sneha,India,INR,Branch-4,Cheque,Agent,Pending,4
RFIN-1120,2023-05-01,Mutual Fund,Investment,Mutual Fund,4,3200,12800,Aarav,Female,28,Kolkata,Sneha,India,INR,Branch-5,Credit Card,Online,Pending,1
RFIN-1121,2023-05-02,Insurance,Others,Others,1,3961,3961,Karan,Female,49,Delhi,Raj,India,INR,Branch-2,Credit Card,Agent,Success,5
RFIN-1122,2023-05-03,Insurance,Others,Others,2,5973,11946,Karan,Male,46,Bangalore,Priya,India,INR,Branch-4,Net Banking,Offline,Failed,5
RFIN-1123,2023-05-04,Pension Plan,Others,Others,3,5433,16299,Ishita,Female,30,Delhi,Priya,India,INR,Branch-1,UPI,Agent,Success,3
RFIN-1124,2023-05-05,Insurance,Others,Others,1,3869,3869,Megha,Male,46,Mumbai,Vikas,India,INR,Branch-4,Net Banking,Online,Pending,5
RFIN-1125,2023-05-06,Pension Plan,Others,Others,4,1956,7824,Ishita,Female,54,Mumbai,Sneha,India,INR,Branch-5,Net Banking,Agent,Pending,5
RFIN-1126,2023-05-07,Debt Fund,Investment,Debt Fund,2,9352,18704,Karan,Female,27,Bangalore,Priya,India,INR,Branch-4,UPI,Offline,Success,5
RFIN-1127,2023-05-08,Pension Plan,Others,Others,1,6699,6699,Pooja,Female,24,Chennai,Sneha,India,INR,Branch-3,UPI,Online,Failed,5
RFIN-1128,2023-05-09,Mutual Fund,Investment,Mutual Fund,4,7944,31776,Karan,Male,31,Delhi,Amit,India,INR,Branch-1,UPI,Online,Pending,2
RFIN-1129,2023-05-10,Mutual Fund,Investment,Mutual Fund,4,5493,21972,Rahul,Female,49,Mumbai,Raj,India,INR,Branch-3,Credit Card,Online,Pending,2
RFIN-1130,2023-05-11,Pension Plan,Others,Others,4,5911,23644,Neha,Female,56,Delhi,Sneha,India,INR,Branch-2,Credit Card,Agent,Success,3
RFIN-1131,2023-05-12,Debt Fund,Investment,Debt Fund,1,4987,4987,Aditya,Female,45,Bangalore,Sneha,India,INR,Branch-4,Cheque,Agent,Pending,1
RFIN-1132,2023-05-13,Debt Fund,Investment,Debt Fund,1,7015,7015,Karan,Male,41,Kolkata,Sneha,India,INR,Branch-4,Cheque,Online,Pending,5
RFIN-1133,2023-05-14,Mutual Fund,Investment,Mutual Fund,1,2218,2218,Rahul,Female,56,Bangalore,Priya,India,INR,Branch-2,Net Banking,Agent,Pending,1
RFIN-1134,2023-05-15,Debt Fund,Investment,Debt Fund,3,5496,16488,Rahul,Male,30,Bangalore,Sneha,India,INR,Branch-3,Net Banking,Offline,Failed,1
RFIN-1135,2023-05-16,Insurance,Others,Others,1,5735,5735,Megha,Male,57,Bangalore,Amit,India,INR,Branch-1,Cheque,Online,Pending,3
RFIN-1136,2023-05-17,Equity,Investment,Equity,1,5555,5555,Aarav,Female,29,Mumbai,Priya,India,INR,Branch-3,Net Banking,Offline,Pending,5
RFIN-1137,2023-05-18,Insurance,Others,Others,1,9050,9050,Karan,Male,44,Bangalore,Vikas,India,INR,Branch-5,UPI,Offline,Pending,5
RFIN-1138,2023-05-19,Mutual Fund,Investment,Mutual Fund,3,4446,13338,Aarav,Male,55,Kolkata,Vikas,India,INR,Branch-3,Credit Card,Agent,Success,4
RFIN-1139,2023-05-20,Debt Fund,Investment,Debt Fund,1,2045,2045,Pooja,Female,55,Kolkata,Raj,India,INR,Branch-1,Cheque,Agent,Pending,1
RFIN-1140,2023-05-21,Pension Plan,Others,Others,4,7893,31572,Aditya,Male,56,Kolkata,Amit,India,INR,Branch-4,Credit Card,Online,Failed,1
RFIN-1141,2023-05-22,Equity,Investment,Equity,1,2693,2693,Rahul,Female,38,Chennai,Sneha,India,INR,Branch-3,Cheque,Offline,Pending,2
RFIN-1142,2023-05-23,Pension Plan,Others,Others,4,4436,17744,Neha,Male,59,Bangalore,Amit,India,INR,Branch-2,Credit Card,Agent,Pending,4
RFIN-1143,2023-05-24,Mutual Fund,Investment,Mutual Fund,4,9754,39016,Neha,Male,52,Kolkata,Vikas,India,INR,Branch-1,Cheque,Offline,Failed,2
RFIN-1144,2023-05-25,Debt Fund,Investment,Debt Fund,4,6895,27580,Aarav,Female,44,Chennai,Sneha,India,INR,Branch-4,Credit Card,Agent,Pending,2
RFIN-1145,2023-05-26,Pension Plan,Others,Others,3,4354,13062,Rahul,Female,43,Bangalore,Amit,India,INR,Branch-1,UPI,Offline,Success,2
RFIN-1146,2023-05-27,Pension Plan,Others,Others,3,1225,3675,Megha,Female,52,Bangalore,Priya,India,INR,Branch-2,Cheque,Online,Failed,3
RFIN-1147,2023-05-28,Equity,Investment,Equity,3,5893,17679,Aarav,Male,57,Delhi,Sneha,India,INR,Branch-5,Cheque,Agent,Pending,3
RFIN-1148,2023-05-29,Equity,Investment,Equity,1,8022,8022,Aditya,Female,32,Bangalore,Priya,India,INR,Branch-1,Cheque,Online,Success,2
RFIN-1149,2023-05-30,Debt Fund,Investment,Debt Fund,4,6600,26400,Aarav,Female,33,Delhi,Amit,India,INR,Branch-1,UPI,Offline,Pending,4
RFIN-1150,2023-05-31,Equity,Investment,Equity,3,8996,26988,Rahul,Female,43,Mumbai,Sneha,India,INR,Branch-3,Credit Card,Offline,Failed,1
RFIN-1151,2023-06-01,Pension Plan,Others,Others,3,8683,26049,Karan,Female,45,Mumbai,Raj,India,INR,Branch-2,Cheque,Online,Success,4
RFIN-1152,2023-06-02,Pension Plan,Others,Others,1,5642,5642,Megha,Female,55,Chennai,Raj,India,INR,Branch-2,Credit Card,Offline,Failed,5
RFIN-1153,2023-06-03,Mutual Fund,Investment,Mutual Fund,3,8679,26037,Rahul,Female,50,Delhi,Vikas,India,INR,Branch-5,UPI,Agent,Pending,3
RFIN-1154,2023-06-04,Pension Plan,Others,Others,1,9208,9208,Megha,Female,37,Mumbai,Sneha,India,INR,Branch-2,Net Banking,Agent,Pending,1
RFIN-1155,2023-06-05,Debt Fund,Investment,Debt Fund,2,8339,16678,Ishita,Male,40,Mumbai,Amit,India,INR,Branch-1,Cheque,Offline,Success,1
RFIN-1156,2023-06-06,Insurance,Others,Others,3,3205,9615,Ishita,Female,45,Mumbai,Raj,India,INR,Branch-5,UPI,Offline,Success,5
RFIN-1157,2023-06-07,Mutual Fund,Investment,Mutual Fund,2,2069,4138,Neha,Male,42,Bangalore,Vikas,India,INR,Branch-2,Credit Card,Offline,Pending,5
RFIN-1158,2023-06-08,Mutual Fund,Investment,Mutual Fund,1,4444,4444,Megha,Male,33,Delhi,Sneha,India,INR,Branch-5,Cheque,Offline,Failed,2
RFIN-1159,2023-06-09,Debt Fund,Investment,Debt Fund,4,2060,8240,Aditya,Female,39,Mumbai,Raj,India,INR,Branch-2,Credit Card,Agent,Pending,3
RFIN-1160,2023-06-10,Debt Fund,Investment,Debt Fund,3,3327,9981,Aarav,Male,56,Delhi,Sneha,India,INR,Branch-2,Net Banking,Agent,Pending,3
RFIN-1161,2023-06-11,Equity,Investment,Equity,1,4420,4420,Ishita,Male,32,Kolkata,Vikas,India,INR,Branch-3,Cheque,Offline,Pending,4
RFIN-1162,2023-06-12,Mutual Fund,Investment,Mutual Fund,4,1301,5204,Aarav,Male,39,Kolkata,Amit,India,INR,Branch-2,Cheque,Online,Failed,2
RFIN-1163,2023-06-13,Equity,Investment,Equity,4,1606,6424,Aarav,Male,32,Bangalore,Vikas,India,INR,Branch-5,Credit Card,Online,Failed,2
RFIN-1164,2023-06-14,Pension Plan,Others,Others,2,4170,8340,Aditya,Male,29,Kolkata,Amit,India,INR,Branch-1,Cheque,Agent,Pending,2
